id,hive,internal,external,board,operational,panel,cell,weight,latitude,longitude,altitude,temperature,pressure,humidity,rain_level,wind_direction,wind_speed,wind_speed_mean,wind_speed_max,wind_direction_at_max_speed,flow,date,temperature_C,lat_lon
32,AAA00353656109378739,3357,1837,2062,0,11858,4115,85071,457275,97127,,1785,9803,69,0,0,13,17,25,0,8,1/6/22 7.51,18,"45.7275, 9.7127"
33,AAA00353656109378739,3354,1850,2018,0,11858,4142,85071,457275,97127,,1823,9804,68,0,67,25,28,42,0,2,1/6/22 8.06,18,"45.7275, 9.7127"
34,AAA00353656109378739,3359,1868,2125,0,11924,4128,85071,457275,97127,,1924,9805,66,0,0,16,11,28,0,8,1/6/22 8.21,19,"45.7275, 9.7127"
35,AAA00353656109378739,3361,1881,2062,0,11924,4122,85002,457275,97127,,1988,9807,65,0,292,0,7,18,0,8,1/6/22 8.36,20,"45.7275, 9.7127"
36,AAA00353656109378739,3349,1900,2137,0,11924,4128,84933,457275,97127,,2036,9808,63,0,67,31,20,40,0,1,1/6/22 8.51,20,"45.7275, 9.7127"
37,AAA00353656109378739,3349,1925,2093,0,11924,4142,84864,457275,97127,,2097,9808,63,0,247,6,20,37,0,3,1/6/22 9.06,21,"45.7275, 9.7127"
38,AAA00353656109378739,3350,1943,2106,0,11858,4142,84725,457275,97127,,2207,9809,62,0,0,22,15,24,0,0,1/6/22 9.21,22,"45.7275, 9.7127"
39,AAA00353656109378739,3360,1968,2125,0,11924,4128,84622,457275,97127,,2453,9809,60,0,22,1,19,50,0,4,1/6/22 9.36,25,"45.7275, 9.7127"
40,AAA00353656109378739,3361,1993,2206,0,11858,4135,84414,457275,97127,,2645,9810,57,0,247,4,22,50,0,7,1/6/22 9.52,26,"45.7275, 9.7127"
41,AAA00353656109378739,3356,2025,2187,0,11924,4149,84276,457275,97127,,2730,9810,54,0,67,12,14,23,0,30,1/6/22 10.07,27,"45.7275, 9.7127"
42,AAA00353656109378739,3360,2056,2212,0,11924,4115,84138,457275,97127,,2903,9809,51,0,0,18,15,32,0,1,1/6/22 10.22,29,"45.7275, 9.7127"
43,AAA00353656109378739,3357,2093,2250,0,11924,4135,84069,457275,97127,,2919,9809,50,0,67,18,22,42,0,3,1/6/22 10.37,29,"45.7275, 9.7127"
44,AAA00353656109378739,3347,2137,2331,0,11858,4115,83965,457275,97127,,2845,9810,48,0,67,32,60,96,0,4,1/6/22 10.52,28,"45.7275, 9.7127"
45,AAA00353656109378739,3359,2175,2331,0,11924,4149,84345,457275,97127,,2993,9811,48,0,202,7,15,35,0,7,1/6/22 11.07,30,"45.7275, 9.7127"
46,AAA00353656109378739,3355,2212,2368,0,11924,4115,84656,457275,97127,,2992,9811,46,0,0,27,6,27,0,3,1/6/22 11.22,30,"45.7275, 9.7127"
47,AAA00353656109378739,3365,2250,2400,0,11924,4149,84553,457275,97127,,3066,9811,46,0,202,0,17,34,0,13,1/6/22 11.37,31,"45.7275, 9.7127"
48,AAA00353656109378739,3362,2281,2481,0,11924,4115,84587,457275,97127,,3271,9811,44,0,292,0,14,46,0,9,1/6/22 11.53,33,"45.7275, 9.7127"
49,AAA00353656109378739,3362,2318,2475,0,11924,4122,84587,457275,97127,,3192,9812,42,0,202,16,7,18,0,15,1/6/22 12.08,32,"45.7275, 9.7127"
50,AAA00353656109378739,3363,2356,2593,0,11989,4122,84518,457275,97127,,3387,9812,41,0,292,31,27,57,0,3,1/6/22 12.23,34,"45.7275, 9.7127"
51,AAA00353656109378739,3366,2381,2550,0,11924,4108,84553,457275,97127,,3064,9811,40,0,202,4,3,11,0,6,1/6/22 12.38,31,"45.7275, 9.7127"
52,AAA00353656109378739,3375,2412,2612,0,11858,4135,84518,457275,97127,,3520,9810,40,0,292,22,18,31,0,16,1/6/22 12.53,35,"45.7275, 9.7127"
53,AAA00353656109378739,3367,2450,2606,0,11858,4128,84518,457275,97127,,3619,9809,38,0,247,41,30,75,0,19,1/6/22 13.08,36,"45.7275, 9.7127"
54,AAA00353656109378739,3372,2475,2625,0,11858,4122,84518,457275,97127,,3518,9808,37,0,292,24,32,62,0,43,1/6/22 13.23,35,"45.7275, 9.7127"
55,AAA00353656109378739,3367,2500,2656,0,11858,4122,84518,457275,97127,,3648,9808,36,0,292,54,29,56,0,26,1/6/22 13.38,36,"45.7275, 9.7127"
56,AAA00353656109378739,3361,2525,2718,0,11924,4128,84553,457275,97127,,3620,9809,35,0,247,15,29,76,0,81,1/6/22 13.54,36,"45.7275, 9.7127"
57,AAA00353656109378739,3379,2550,2706,0,11858,4122,84553,457275,97127,,3370,9808,35,0,202,13,15,31,0,71,1/6/22 14.09,34,"45.7275, 9.7127"
58,AAA00353656109378739,3384,2562,2718,0,11924,4128,84587,457275,97127,,3319,9807,35,0,135,66,42,73,0,82,1/6/22 14.24,33,"45.7275, 9.7127"
59,AAA00353656109378739,3362,2575,2731,0,11858,4115,84622,457275,97127,,3114,9805,37,0,292,33,12,33,292,81,1/6/22 14.39,31,"45.7275, 9.7127"
60,AAA00353656109378739,3390,2581,2793,0,11924,4122,84656,457275,97127,,2874,9803,38,0,135,8,22,46,0,85,1/6/22 14.54,29,"45.7275, 9.7127"
61,AAA00353656109378739,3379,2593,2756,0,11924,4122,84622,457275,97127,,3056,9803,39,0,0,29,18,35,0,75,1/6/22 15.09,31,"45.7275, 9.7127"
62,AAA00353656109378739,3375,2593,2756,0,11858,4128,84622,457275,97127,,3009,9802,39,0,292,0,11,28,0,76,1/6/22 15.24,30,"45.7275, 9.7127"
63,AAA00353656109378739,3378,2600,2762,0,11858,4122,84656,457275,97127,,2888,9803,39,0,247,10,11,18,0,137,1/6/22 15.39,29,"45.7275, 9.7127"
64,AAA00353656109378739,3378,2606,2812,0,11858,4149,84656,457275,97127,301,2944,9803,40,0,202,9,3,10,0,159,1/6/22 15.54,29,"45.7275, 9.7127"
65,AAA00353656109378739,3383,2612,2787,0,11924,4142,84483,457275,97127,301,3033,9802,39,0,337,0,6,15,0,95,1/6/22 16.09,30,"45.7275, 9.7127"
66,AAA00353656109378739,3384,2618,2781,0,11924,4115,84518,457275,97127,301,2911,9802,39,0,247,8,8,22,0,180,1/6/22 16.24,29,"45.7275, 9.7127"
67,AAA00353656109378739,3367,2618,2775,0,11858,4128,84587,457275,97127,301,2807,9802,40,0,292,0,6,23,0,160,1/6/22 16.39,28,"45.7275, 9.7127"
68,AAA00353656109378739,3379,2618,2812,0,11924,4128,84587,457275,97127,301,2761,9802,41,0,292,0,2,10,0,253,1/6/22 16.55,28,"45.7275, 9.7127"
69,AAA00353656109378739,3379,2618,2781,0,11924,4128,84553,457275,97127,301,2765,9800,41,0,292,0,2,11,0,322,1/6/22 17.10,28,"45.7275, 9.7127"
70,AAA00353656109378739,3362,2618,2775,0,11858,4115,84518,457275,97127,301,2795,9800,41,0,292,0,6,24,0,1797,1/6/22 17.25,28,"45.7275, 9.7127"
71,AAA00353656109378739,3375,2618,2775,0,11924,4122,84587,457275,97127,301,2662,9800,42,0,337,0,15,45,0,1565,1/6/22 17.40,27,"45.7275, 9.7127"
72,AAA00353656109378739,3385,2618,2800,0,11858,4128,84587,457275,97127,301,2707,9799,42,0,202,4,12,37,0,502,1/6/22 17.55,27,"45.7275, 9.7127"
73,AAA00353656109378739,3378,2618,2775,0,11924,4128,84587,457275,97127,301,2689,9799,42,0,292,4,4,16,0,160,1/6/22 18.10,27,"45.7275, 9.7127"
74,AAA00353656109378739,3372,2618,2768,0,11924,4128,84622,457275,97127,301,2610,9798,43,0,202,12,11,23,0,169,1/6/22 18.26,26,"45.7275, 9.7127"
75,AAA00353656109378739,3380,2606,2768,0,11924,4122,84622,457275,97127,301,2644,9798,44,0,202,2,0,2,202,148,1/6/22 18.41,26,"45.7275, 9.7127"
76,AAA00353656109378739,3372,2612,2806,0,11924,4115,84691,457275,97127,301,2631,9797,44,0,247,7,2,7,247,120,1/6/22 18.56,26,"45.7275, 9.7127"
77,AAA00353656109378739,3383,2612,2775,0,11858,4128,84691,457275,97127,301,2534,9798,45,0,292,18,9,18,292,126,1/6/22 19.11,25,"45.7275, 9.7127"
78,AAA00353656109378739,3373,2612,2768,0,11858,4135,84656,457275,97127,301,2506,9798,46,0,0,18,10,18,0,106,1/6/22 19.26,25,"45.7275, 9.7127"
79,AAA00353656109378739,3368,2606,2762,0,11793,4128,84725,457275,97127,301,2451,9798,46,0,337,12,7,14,0,94,1/6/22 19.41,25,"45.7275, 9.7127"
80,AAA00353656109378739,3363,2600,2787,0,11924,4128,84898,457275,97126,301,2376,9799,48,0,337,20,8,20,337,93,1/6/22 19.56,24,"45.7275, 9.7127"
81,AAA00353656109378739,3360,2587,2775,0,11989,4115,84898,457275,97126,301,2303,9799,49,0,0,24,11,24,0,63,1/6/22 20.11,23,"45.7275, 9.7127"
82,AAA00353656109378739,3353,2575,2737,0,11924,4142,84656,457275,97126,301,2204,9800,51,0,0,17,14,27,0,54,1/6/22 20.27,22,"45.7275, 9.7127"
83,AAA00353656109378739,3357,2562,2718,0,11858,4122,84760,457275,97126,301,2143,9800,52,0,292,27,9,27,292,48,1/6/22 20.42,21,"45.7275, 9.7127"
84,AAA00353656109378739,3355,2543,2718,0,11924,4128,84794,457275,97126,301,2111,9801,54,0,0,14,14,24,0,30,1/6/22 20.57,21,"45.7275, 9.7127"
85,AAA00353656109378739,3337,2525,2681,0,11924,4142,84864,457275,97126,301,2065,9800,55,0,0,0,7,20,0,57,1/6/22 21.12,21,"45.7275, 9.7127"
86,AAA00353656109378739,3348,2500,2662,0,11858,4149,84898,457275,97126,301,2023,9801,56,0,337,35,27,48,0,38,1/6/22 21.27,20,"45.7275, 9.7127"
87,AAA00353656109378739,3344,2475,2643,0,11858,4128,84829,457275,97126,301,1999,9802,57,0,0,32,32,40,0,44,1/6/22 21.42,20,"45.7275, 9.7127"
88,AAA00353656109378739,3342,2462,2650,0,11924,4115,84829,457275,97126,301,1987,9804,58,0,0,22,28,65,0,36,1/6/22 21.57,20,"45.7275, 9.7127"
89,AAA00353656109378739,3341,2437,2612,0,11924,4149,84829,457275,97126,301,1986,9805,58,0,0,24,30,50,0,55,1/6/22 22.12,20,"45.7275, 9.7127"
90,AAA00353656109378739,3352,2418,2587,0,11924,4122,84829,457275,97126,301,2010,9806,58,0,0,31,21,54,0,27,1/6/22 22.28,20,"45.7275, 9.7127"
91,AAA00353656109378739,3328,2406,2575,0,11924,4122,84829,457275,97126,301,1996,9806,59,0,0,35,28,42,0,23,1/6/22 22.43,20,"45.7275, 9.7127"
92,AAA00353656109378739,3315,2387,2581,0,11858,4122,84829,457275,97126,301,1980,9807,59,0,292,3,15,23,0,19,1/6/22 22.58,20,"45.7275, 9.7127"
93,AAA00353656109378739,3335,2368,2543,0,11924,4128,84829,457275,97126,301,1945,9806,59,0,0,40,22,40,0,23,1/6/22 23.13,19,"45.7275, 9.7127"
94,AAA00353656109378739,3363,2350,2518,0,11858,4128,84864,457275,97126,301,1923,9807,60,0,0,8,15,32,0,28,1/6/22 23.28,19,"45.7275, 9.7127"
95,AAA00353656109378739,3326,2331,2500,0,11924,4128,84794,457275,97126,301,1873,9808,61,0,0,15,19,32,0,44,1/6/22 23.43,19,"45.7275, 9.7127"
