"hive";"internal";"external";"board";"operational";"panel";"cell";"weight";"latitude";"longitude";"altitude";"temperature";"pressure";"humidity";"rain_level";"wind_direction";"wind_speed";"wind_speed_mean";"wind_speed_max";"wind_direction_at_max_speed";"flow";"date"
"AAA00353656109378739";1581;1525;1712;0;11924;4142;16966;45.7275;9.7127;294;1043;9767;58;0;0;11;3;11;0;0;"2023-04-12 00:03:46+02"
"AAA00353656109378739";1553;1500;1650;0;11924;4128;17035;45.7275;9.7127;294;1031;9767;58;0;0;0;2;14;0;0;"2023-04-12 00:18:52+02"
"AAA00353656109378739";1528;1475;1631;0;11858;4122;17001;45.7275;9.7127;294;1013;9767;59;0;0;0;2;12;0;0;"2023-04-12 00:33:57+02"
"AAA00353656109378739";1503;1450;1600;0;11858;4142;17070;45.7275;9.7127;294;1016;9766;60;0;0;11;1;11;0;0;"2023-04-12 00:49:02+02"
"AAA00353656109378739";1478;1425;1575;0;11858;4128;17001;45.7275;9.7127;294;1049;9767;61;0;292;0;12;31;0;0;"2023-04-12 01:04:07+02"
"AAA00353656109378739";1455;1412;1556;0;11924;4128;17035;45.7275;9.7127;294;1027;9767;61;0;292;4;0;4;292;0;"2023-04-12 01:19:12+02"
"AAA00353656109378739";1434;1387;1543;0;11858;4142;17035;45.7275;9.7127;294;1068;9766;61;0;0;20;12;20;0;0;"2023-04-12 01:34:17+02"
"AAA00353656109378739";1414;1368;1518;0;11858;4115;17104;45.7275;9.7127;294;1083;9764;61;0;0;0;8;20;0;0;"2023-04-12 01:49:22+02"
"AAA00353656109378739";1396;1350;1493;0;11924;4128;17070;45.7275;9.7127;294;1048;9763;62;0;0;18;7;18;0;0;"2023-04-12 02:04:27+02"
"AAA00353656109378739";1377;1337;1481;0;11858;4135;17070;45.7275;9.7127;294;1023;9763;62;0;0;0;0;0;0;0;"2023-04-12 02:19:31+02"
"AAA00353656109378739";1360;1325;1475;0;11858;4128;17104;45.7275;9.7127;294;1023;9763;63;0;0;10;4;16;0;0;"2023-04-12 02:34:40+02"
"AAA00353656109378739";1348;1312;1450;0;11858;4142;17104;45.7275;9.7127;294;1047;9760;63;0;0;9;8;16;0;0;"2023-04-12 02:49:44+02"
"AAA00353656109378739";1337;1306;1437;0;11858;4128;17104;45.7275;9.7127;294;1058;9761;64;0;292;5;0;5;292;0;"2023-04-12 03:04:49+02"
"AAA00353656109378739";1322;1293;1425;0;11858;4122;17139;45.7275;9.7127;294;1076;9762;64;0;0;0;0;0;0;0;"2023-04-12 03:19:54+02"
"AAA00353656109378739";1309;1287;1425;0;11858;4128;17208;45.7276;9.7127;296;1072;9762;64;0;0;0;2;15;0;0;"2023-04-12 03:35:00+02"
"AAA00353656109378739";1299;1275;1412;0;11924;4142;17139;45.7276;9.7127;296;1077;9763;65;0;0;0;1;6;0;0;"2023-04-12 03:50:04+02"
"AAA00353656109378739";1287;1268;1456;0;11924;4128;17173;45.7276;9.7127;296;1115;9764;65;0;292;0;2;16;0;0;"2023-04-12 04:05:09+02"
"AAA00353656109378739";1283;1262;1406;0;11924;4128;17173;45.7276;9.7127;296;1118;9761;65;0;292;0;0;0;292;0;"2023-04-12 04:20:13+02"
"AAA00353656109378739";1274;1262;1400;0;11924;4122;17173;45.7276;9.7127;296;1116;9761;64;0;0;10;5;10;0;0;"2023-04-12 04:35:20+02"
"AAA00353656109378739";1269;1256;1387;0;11858;4128;17208;45.7276;9.7127;296;1125;9759;65;0;0;0;4;10;0;0;"2023-04-12 04:50:26+02"
"AAA00353656109378739";1260;1243;1381;0;11858;4142;17243;45.7276;9.7127;296;1114;9757;64;0;0;0;0;0;0;0;"2023-04-12 05:05:30+02"
"AAA00353656109378739";1255;1243;1375;0;11924;4115;17208;45.7276;9.7127;296;1111;9758;64;0;0;0;0;0;0;0;"2023-04-12 05:20:35+02"
"AAA00353656109378739";1252;1243;1375;0;11858;4128;17208;45.7276;9.7127;296;1106;9758;64;0;0;0;0;0;0;0;"2023-04-12 05:35:40+02"
"AAA00353656109378739";1246;1237;1368;0;11858;4135;17243;45.7276;9.7127;296;1104;9756;64;0;0;0;0;0;0;0;"2023-04-12 05:50:44+02"
"AAA00353656109378739";1241;1231;1362;0;11793;4128;17208;45.7276;9.7127;296;1110;9755;63;0;0;16;3;16;0;0;"2023-04-12 06:05:49+02"
"AAA00353656109378739";1241;1225;1356;0;11858;4128;17243;45.7276;9.7127;296;1107;9754;62;0;0;0;0;0;0;0;"2023-04-12 06:20:53+02"
"AAA00353656109378739";1238;1231;1362;0;11858;4115;17243;45.7276;9.7127;296;1105;9755;61;0;0;0;2;8;0;0;"2023-04-12 06:35:59+02"
"AAA00353656109378739";1234;1225;1356;0;11858;4135;17208;45.7276;9.7127;296;1099;9754;61;0;0;6;2;6;0;0;"2023-04-12 06:51:04+02"
"AAA00353656109378739";1233;1218;1350;0;11858;4128;17243;45.7276;9.7127;296;1112;9757;61;0;0;0;0;0;0;0;"2023-04-12 07:06:08+02"
"AAA00353656109378739";1229;1218;1343;0;11858;4142;17208;45.7276;9.7127;296;1126;9756;61;0;0;11;1;11;0;0;"2023-04-12 07:21:12+02"
"AAA00353656109378739";1225;1218;1356;0;11858;4128;11196;45.7275;9.7127;310;1162;9756;60;0;0;0;3;10;0;0;"2023-04-12 07:36:22+02"
"AAA00353656109378739";1238;1225;1350;0;11858;4128;12198;45.7275;9.7127;310;1206;9756;60;0;0;9;6;18;0;0;"2023-04-12 07:51:28+02"
"AAA00353656109378739";1265;1237;1418;0;11924;4142;17139;45.7275;9.7127;310;1318;9755;59;0;0;0;1;8;0;0;"2023-04-12 08:06:33+02"
"AAA00353656109378739";2639;1256;1381;0;11858;4135;25985;45.7275;9.7127;310;1400;9757;57;0;0;0;3;16;0;0;"2023-04-12 08:21:37+02"
"AAA00353656109378739";3211;1287;1406;0;11858;4149;27712;45.7275;9.7127;310;1388;9756;55;0;0;0;2;16;0;1;"2023-04-12 08:36:50+02"
"AAA00353656109378739";3111;1306;1418;0;11858;4135;27643;45.7275;9.7127;310;1348;9757;54;0;0;0;9;24;0;2;"2023-04-12 08:51:54+02"
